"virus","ic","error.ic","sera","model"
"20E genotype",4.21092842829265,0.174445424887877,"Serum 1","LL2"
"B.1.177.637 genotype",4.10030106909392,0.0884127934937347,"Serum 1","LL2"
"20E genotype",4.40367315906943,0.254610209488866,"Serum 2","LL2"
"B.1.177.637 genotype",3.87875835667487,0.116935323746408,"Serum 2","LL3"
"20E genotype",5.34347110288785,0.534202955026872,"Serum 3","LL2"
"B.1.177.637 genotype",4.43895219630689,0.160393266601686,"Serum 3","LL3"
"20E genotype",4.85656602376626,0.270823441626189,"Serum 4","LL2"
"B.1.177.637 genotype",4.02261748001563,0.0795686862206388,"Serum 4","LL3"
"20E genotype",5.56749240428269,0.392607890084047,"Serum 5","LL2"
"B.1.177.637 genotype",4.31995180340863,0.228404837331044,"Serum 5","LL2"
"20E genotype",3.75168566770832,0.110991055889067,"Serum 6","LL2"
"B.1.177.637 genotype",3.22644858195456,0.0579773077624346,"Serum 6","LL2"
